timestamp,x,y,z
1489816946.25,-6.48,0.17,7.1
1489816946.27,-6.53,0.1,6.96
1489816946.29,-6.52,-0.05,6.92
1489816946.3,-6.58,0.11,7.07
1489816946.31,-6.62,0.09,7.35
1489816946.33,-6.61,0.05,7.34
1489816946.34,-6.65,0.02,7.34
1489816946.36,-6.61,0.0,7.22
1489816946.37,-6.59,-0.0,7.15
1489816946.38,-6.59,0.01,7.18
1489816946.4,-6.59,-0.02,7.26
1489816946.41,-6.64,-0.04,7.2
1489816946.43,-6.6,0.05,7.1
1489816946.45,-6.65,0.07,7.0
1489816946.46,-6.66,0.08,6.99
1489816946.47,-6.63,0.06,7.14
1489816946.49,-6.54,0.11,7.2
1489816946.5,-6.56,0.1,7.29
1489816946.52,-6.57,0.04,7.19
1489816946.53,-6.67,0.1,7.1
1489816946.54,-6.57,0.05,6.96
1489816946.56,-6.56,0.19,7.03
1489816946.57,-6.55,0.21,7.07
1489816946.59,-6.53,0.02,7.05
1489816946.61,-6.54,-0.07,7.18
1489816946.62,-6.55,-0.02,7.22
1489816946.63,-6.6,0.04,7.17
1489816946.65,-6.65,0.04,7.23
1489816946.66,-6.71,0.13,7.24
1489816946.68,-6.71,0.14,7.34
1489816946.69,-6.64,0.18,7.31
1489816946.7,-6.55,0.23,7.3
1489816946.72,-6.47,0.15,7.12
1489816946.74,-6.53,0.08,6.94
1489816946.75,-6.63,0.01,6.99
1489816946.77,-6.68,-0.05,7.01
1489816946.78,-6.77,0.0,7.1
1489816946.79,-6.76,0.08,7.38
1489816946.81,-6.71,0.16,7.47
1489816946.82,-6.57,0.19,7.51
1489816946.83,-6.63,0.19,7.51
1489816946.85,-6.62,0.11,7.29
1489816946.86,-6.67,0.12,7.17
1489816946.88,-6.61,0.11,7.15
1489816946.9,-6.65,0.1,7.35
1489816946.91,-6.67,0.11,7.41
1489816946.93,-6.58,0.11,7.44
1489816946.94,-6.52,0.15,7.35
1489816946.95,-6.44,0.23,7.19
1489816946.97,-6.55,0.24,7.1
1489816946.98,-6.48,0.27,7.16
1489816946.99,-6.42,0.31,7.27
1489816947.01,-6.37,0.28,7.41
1489816947.02,-6.34,0.26,7.43
1489816947.04,-6.34,0.26,7.41
1489816947.06,-6.34,0.26,7.25
1489816947.07,-6.32,0.23,7.09
1489816947.08,-6.32,0.23,7.02
1489816947.1,-6.31,0.11,7.13
1489816947.11,-6.35,0.1,7.38
1489816947.13,-6.33,0.22,7.47
1489816947.14,-6.22,0.19,7.46
1489816947.15,-6.2,0.23,7.48
1489816947.17,-6.12,0.28,7.47
1489816947.19,-6.25,0.15,7.15
1489816947.2,-6.23,0.11,7.11
1489816947.22,-6.11,0.21,7.01
1489816947.23,-6.06,0.31,7.08
1489816947.24,-6.07,0.36,7.24
1489816947.26,-6.06,0.28,7.26
1489816947.27,-6.16,0.15,7.13
1489816947.29,-6.11,0.14,7.1
1489816947.3,-6.08,0.21,7.04
1489816947.31,-6.09,0.23,7.17
1489816947.33,-6.16,0.1,7.22
1489816947.35,-6.31,0.07,7.41
1489816947.36,-6.34,0.03,7.56
1489816947.38,-6.42,0.15,7.55
1489816947.39,-6.4,0.26,7.47
1489816947.4,-6.5,0.34,7.45
1489816947.42,-6.56,0.26,7.35
1489816947.43,-6.54,0.19,7.25
1489816947.45,-6.46,0.23,7.34
1489816947.46,-6.36,0.37,7.38
1489816947.47,-6.28,0.39,7.29
1489816947.49,-6.31,0.26,7.16
1489816947.51,-6.41,0.17,7.08
1489816947.52,-6.58,0.12,7.0
1489816947.54,-6.65,0.15,7.12
1489816947.55,-6.63,0.13,7.4
1489816947.56,-6.63,0.17,7.66
1489816947.58,-6.54,0.11,7.81
1489816947.59,-6.62,-0.03,7.75
1489816947.61,-6.55,0.01,7.52
1489816947.62,-6.39,0.09,7.34
1489816947.63,-6.48,0.01,7.0
1489816947.65,-6.57,-0.04,7.01
1489816947.67,-6.55,0.0,7.14
1489816947.68,-6.48,0.12,7.33
1489816947.7,-6.44,0.23,7.37
1489816947.71,-6.5,0.2,7.34
1489816947.72,-6.52,0.16,7.11
1489816947.74,-6.44,0.12,6.92
